frame_idx,ts_ms,pose_detected,left_hip_x,left_hip_y,left_ankle_x,left_ankle_y,left_conf,right_hip_x,right_hip_y,right_ankle_x,right_ankle_y,right_conf,raw_readings_n,filter_readings_n,extrap_sides,skip_seglen,skip_flip,antisnap_sides,nms_fired,nms_removed_side,nms_ankle_dist_px,ankles_same_pos,identity_swap
55,1068,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
56,1088,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
57,1107,1,450,821,398,698,0.3575,495,817,504,639,0.2652,2,0,,,,"left,right",0,,0.0,0,1
58,1127,1,461,778,389,599,0.4133,473,775,445,586,0.2517,2,0,,,,"left,right",0,,0.0,0,1
59,1146,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
60,1166,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
61,1185,1,496,883,561,1141,0.4598,438,888,426,1118,0.3129,2,0,,,,"left,right",0,,0.0,0,1
62,1204,1,505,881,564,1148,0.4468,443,884,426,1133,0.3196,2,0,,,,"left,right",0,,0.0,0,1
63,1224,1,469,879,505,1150,0.4259,481,879,510,1142,0.3169,2,0,,,,"left,right",0,,0.0,1,0
64,1243,1,474,850,490,1137,0.3907,474,849,498,1117,0.2915,2,1,,,,right,0,,0.0,1,0
65,1263,1,432,838,303,1017,0.3904,481,828,615,1048,0.3512,2,1,left,,,"left,right",0,,0.0,0,1
66,1282,1,429,799,390,1008,0.4408,474,791,569,963,0.4138,2,1,left,,,"left,right",0,,0.0,0,1
67,1302,1,428,777,354,1008,0.401,459,782,358,975,0.3742,2,2,left,,,left,0,,0.0,1,0
68,1321,1,441,770,369,1005,0.3649,426,757,304,947,0.3408,2,2,left,,,left,0,,0.0,0,0
69,1340,1,436,780,364,1000,0.3529,393,757,271,885,0.3258,2,2,left,,,left,0,,0.0,0,0
70,1360,1,439,796,279,879,0.3305,403,783,280,864,0.3019,2,2,left,,,left,0,,0.0,1,1
71,1379,1,442,793,275,862,0.2988,410,767,261,852,0.2729,2,1,,,,left,0,,0.0,1,1
72,1399,1,446,787,325,906,0.2734,405,760,259,853,0.2501,2,1,,,,left,0,,0.0,0,0
73,1418,1,446,782,356,947,0.2737,411,755,251,857,0.2504,2,1,,,,left,0,,0.0,0,0
74,1438,1,448,767,365,928,0.2477,413,742,254,840,0.2311,2,1,,,,left,0,,0.0,0,0
75,1457,1,452,756,402,957,0.2268,415,732,254,834,0.2178,2,1,,,,left,0,,0.0,0,0
