frame_idx,ts_ms,pattern,hip_dist_px,knee_dist_px,ankle_dist_px,la_x,la_y,ra_x,ra_y,lk_x,lk_y,rk_x,rk_y,lh_x,lh_y,rh_x,rh_y,la_conf,ra_conf,lk_conf,rk_conf,lh_conf,rh_conf
118,2292,hip+ankle,10.1,47.0,10.7,263.4,856.0,263.2,845.3,345.6,764.1,387.4,742.5,426.6,680.4,436.6,678.8,0.3305,0.1589,0.2003,0.1032,0.9991,0.9995
119,2312,all_collapse,7.2,44.5,16.2,256.0,842.6,244.7,830.9,344.8,754.0,384.3,733.4,429.3,669.5,435.3,673.5,0.3142,0.1527,0.1843,0.0949,0.9991,0.9995
120,2331,all_collapse,27.7,10.0,31.2,255.3,849.0,225.9,838.6,343.8,755.9,353.7,755.1,426.2,701.9,409.4,679.8,0.2916,0.1443,0.1676,0.0917,0.999,0.9993
121,2351,hip+ankle,39.7,55.7,25.4,249.0,855.3,235.0,834.1,352.5,763.0,352.2,707.2,427.1,684.7,408.7,649.5,0.2701,0.1326,0.1536,0.0833,0.9991,0.9994
122,2370,all_collapse,30.3,30.3,15.4,242.1,854.6,236.3,840.4,350.9,767.7,351.8,737.5,425.1,685.9,409.9,659.7,0.3173,0.1968,0.1745,0.1576,0.9992,0.9994
123,2390,all_collapse,35.8,37.9,20.4,235.8,862.7,222.6,847.1,348.1,779.7,325.2,749.4,425.5,702.5,409.9,670.3,0.2904,0.1805,0.1581,0.1432,0.9992,0.9994
130,2525,all_collapse,16.6,33.0,32.3,459.5,1115.6,461.9,1083.4,498.0,955.2,474.1,932.4,467.9,884.5,451.3,883.9,0.5007,0.2416,0.3565,0.2189,0.9994,0.9996
136,2642,all_collapse,38.3,29.2,9.6,318.0,939.5,309.5,935.1,382.7,833.1,353.8,828.8,465.5,746.1,427.6,741.0,0.4966,0.2751,0.3623,0.2114,0.9993,0.9993
141,2739,all_collapse,5.7,4.3,32.9,439.2,1081.3,469.9,1093.2,467.5,949.4,470.7,952.2,465.5,821.2,461.4,817.3,0.4365,0.2888,0.3129,0.2566,0.9995,0.9995
142,2759,hip+ankle,28.2,60.7,9.7,477.0,1096.0,467.7,1098.8,507.4,960.1,450.0,940.5,469.3,846.9,441.6,841.7,0.4354,0.3161,0.3052,0.2958,0.9995,0.9996
148,2875,all_collapse,23.1,18.2,40.9,479.9,1049.5,444.6,1028.9,455.7,933.1,439.0,940.2,470.8,827.1,455.7,844.6,0.3773,0.2669,0.252,0.2606,0.9995,0.9996
